cluster,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
1,4.519356464033702,2.932916124669281,6.192118706071869,8.52096895872678,0.820260372043005,0.056947350041415934,0.1770855689151108,0.03412477441792428,0.07967930269280708,0.08099294359224231,615.9477793284384,101.36406986307891,339.2993815128261,32.50991763346739,4.718535986899849,31.886105299917165,2.014877996964115,192.83906159286968,6.32417667017223,0.6164246782729093,0.0,0.0,60.39995733426897,2.1429031624624657,0.8099901431011233,0.7797981283786453
2,7.081605097907543,3.817560134020103,4.247490695032826,7.247490695032825,0.7232424149336686,0.0,0.605853378006701,0.27675758506633136,0.0,0.0,643.8373898941984,104.45268040206031,340.26169103937013,30.668550282542377,4.732909579294037,31.446484829867337,1.8424318112002511,255.09254959672518,6.061656123418513,0.6848908586287943,0.0,0.0,61.144302002443226,2.737875859950421,2.03222572671615,0.7376253009379978
3,6.888047258461928,2.9642118771788093,4.4324390259827755,7.4324390259827755,0.3581097564956939,0.3214039590596031,0.320486284444703,0.6418902435043061,0.0,0.0,626.0518444606822,101.56664329940233,335.188117360255,28.14774086435926,4.379054878247847,30.716219512991387,1.5685823173717703,398.7209984252323,4.475395962350411,0.5839298020470198,0.0,0.0,59.3581097564957,2.366322410077088,1.6617707677303817,0.7289876297936775
4,2.865937547202933,1.4329687736014665,1.4329687736014665,2.865937547202933,0.3582421934003666,0.3155778863700383,0.6844221136299617,0.3261799202295951,0.0,0.0,613.7944626111948,105.33678195408915,336.9515223328557,27.56096169469245,4.5852813090674545,30.085328614060657,1.5686816450502747,399.3501814633828,5.96124741276898,0.6700453250215348,0.0,0.0,55.497093319943005,2.562863335007124,2.874145244189702,0.6431257659632664
5,0.2957099157654694,0.12351049206293396,0.41922040782840336,0.40051501772257025,0.0,0.016848580436358646,0.9831514195636414,0.9475974490214496,0.0,0.016848580436358646,628.0909518619163,107.46034480737903,330.53330955813294,25.809095186191634,4.7,30.248877793795344,1.326665477906644,487.509690068496,3.9661433611101344,0.6572036345919121,0.0,0.0,52.38923686629464,3.0157207652935654,3.9462839529117084,0.6384139245656422
6,3.6474115152098516,4.8010004315952575,2.4582920626837774,2.611654313934317,0.4223081962733768,0.2689459450228373,0.3087458587037859,0.3087458587037859,0.6912541412962141,0.0,617.8686460018444,108.7315073852469,336.9125414129621,29.685190072688094,4.8055770490683445,31.38250828259243,1.8184406059721603,268.6187554531595,4.3651350210053375,0.6269956623124191,0.0,0.0,56.41647079280012,3.1344729725114187,2.483018744896153,0.646750640406631
7,5.098062468911097,4.299680879324426,6.178052578061315,5.4788834532836725,0.0,0.6567431200036056,0.10566302195671255,0.3432568799963944,0.0,0.5510800980468931,592.2649450860083,100.54858405904156,338.20292464677914,29.294380318074673,4.4852711817357935,30.68651375999279,1.5732921132908027,511.8845156855187,6.537849735313073,0.5982490818465098,0.0,0.0,59.31154843144813,3.5189920130185026,2.4376275593109433,0.6028274242166983
8,4.659143828140717,5.273951025754068,6.066905146105215,5.4727457165725735,0.0,0.68667418558166,0.3664657818030843,0.3133258144183399,0.0,0.3202084037785758,595.4873829895605,106.4589805378521,334.9655870531988,27.830408161518278,4.778607153099092,30.626651628836683,1.5899642280842174,493.667418558166,6.786755830725967,0.6473430016307627,0.0,0.0,61.1332581441834,3.5926212264534545,2.5554806897998144,0.5933320603253821
9,7.165952395634212,3.783478242996033,3.799228176193706,4.702914636903661,0.0,0.2780158681219297,0.2780158681219297,0.7219841318780704,0.0,0.0,611.4447030893507,106.20837701177777,333.91739121498017,31.47064294670202,4.742489876878174,30.818297671168118,1.648564006906333,476.26423403424394,7.131132967462128,0.6252731187437052,0.0,0.0,64.28133542989866,3.626365593718526,3.2175811391338307,0.5672418809479765
10,6.49140683015364,3.555141211139198,4.697459426824476,5.828320082714606,0.0,0.5028643899487869,0.5028643899487869,0.4971356100512131,0.0,0.0,608.037090161648,106.880596903905,332.77570605569605,31.241143078168527,4.832545569276582,30.366274954161085,1.512782766302724,498.8362989676791,6.680273087131756,0.6026138410595205,0.0,0.0,62.029361701600116,3.5130692052976027,3.267629232274069,0.604066615507253
