,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cluster
H5-T4yKgsjRf5U6vhOqIx5fO6ThTnE_PeNLlcQIbnEnXuRDVpzCJyn0u_HZOVR3-pY9bxy-63XrgLg,6.790116643433057,6.413412789599914,4.838677733096043,7.6828536965543295,1.0,0.15582403654171403,0.0,0.0,0.844175963458286,0.0,635.8902668919055,91.22575184496287,345.9901560133536,31.994501769637758,4.484618413070814,30.945940679974772,1.810551791532253,135.76907934645934,5.832751656147935,0.8343171879833362,0.0,0.0,61.88088489922506,3.70303550122328,3.466947118764588,0.6436805161075201,5
JbiFUHx1hueBopFbbKF97-Wd19PscZR1jy4XrSd1PUXlXEHulHpWxplrKHribCBqo3oXITKz7b6zsQ,8.0,4.966504981646565,3.0,4.291378652810221,0.4964544501120275,0.0,0.23147971587929636,0.7685202841207036,0.0,0.0,621.5128771988368,105.17456619154312,338.6751263288363,30.54823735519855,4.7985817800448105,31.470050531534536,1.8512689493254515,276.06366496639174,7.585790389474186,0.6966504981646565,0.0,0.0,65.61522739190542,4.019947740382324,2.8842601420603518,0.5626104483481909,6
FSt4vhOcBvDnICWhDmgLg_-_E2f0PwTIFkvKerKUh4UoOpJwxU5E-T79En-aD95X-UKvGV1O5FXNDQ,4.081240638371576,2.7592738059807083,8.573060953654146,7.800423499334013,0.0,1.0,0.5864246019935695,0.0,0.0,0.41357539800643056,588.1564898345523,108.07359032782166,332.86530476827073,21.286530476827075,4.7,30.0,1.3,542.8367380793231,5.173378578154654,0.5649947062583249,0.0,0.0,53.98663635166058,2.894848237940271,2.3670521909259903,0.6742333539878708,2
Vb8EPeLfWZdsrJf9-G6z3-pDiI5Gvr0PY-ll1B7Zh6grpdTgiMDwhRvM0_HdD2LG10BoZYoJ4v2xMw,6.275818060360624,3.924415355543368,3.41887107800198,6.41887107800198,1.0,0.0,0.7865063253630553,0.0,0.0,0.0,631.0011670795199,106.51366054881329,343.93253162681526,34.27581806036062,4.726770178908872,32.0,2.05,162.97011340685845,6.9622076777716835,0.6786506325363054,0.0,0.0,63.16262434335531,3.143293191689562,2.1419671658162667,0.6965309665965725,6
OJzVhG0F0NeBkC3HSnB39QyyeVcdLPGGqf_XvAKQEjq8U5SUsJGQNdvDje_uzLVClH9H1fJnrehgWg,7.136562833116191,4.712187611038731,4.151249555845079,5.027052996648612,0.19599701728075428,0.2878123889612697,0.48380940624202395,0.516190593757976,0.0,0.0,624.602754511196,107.25543120144533,339.54092314159743,33.300178662880995,4.773924060768734,31.42437522207746,1.877312566623238,394.9821337119007,7.326376713437083,0.671218761103873,0.0,0.0,65.31787312766807,3.7972947003351387,3.063318725571479,0.5564088944420997,6
HZLnTJT2C42A_IPDKHxLns_afBguizLaE1DaVJZMUlJQ3MvDQjDgzYZtjdiI7jP_rJB8zAAhqNuY9w,8.438633078024019,2.0,5.31757782359944,6.634192670058755,0.0,0.6587889117997201,0.0,1.0,0.0,0.0,620.1194031467685,107.9235697081096,328.5350920907076,24.000000000000004,4.87060554410014,30.000000000000004,1.3,541.469722794993,3.9085481675146885,0.6475403758259035,0.0,0.0,59.29298158185848,3.524187638503197,2.267903851547444,0.6485435650858193,1
yNnxq7XKNEltAgUAC91EddsJFaR6PAPWr69PY6Swv2HxgXTG8k559GotwrybNFqgi2G8YZdO_sTOoQ,6.730786523268843,4.5769288410896145,4.692284635641544,6.1450225872983015,0.34322226424879093,0.4230711589103859,0.7662934231591768,0.2337065768408232,0.0,0.0,625.51837790132,107.95565800522874,339.600755526692,33.60659563383599,4.872195142838791,31.15385768217923,1.7961573046537682,364.3404366164013,6.982246550054833,0.6576928841089613,0.0,0.0,64.11251067514493,3.68549774127017,3.093075654960285,0.60436771741018,6
pNHPxW2NG2bYSXxH2DEEbqX3nvg3jUwIjIR2uV_oJIF40DGOPEb0CDYXg3j0_0R8K6vzTyKmhrrG1A,1.6944588620621768,5.55635995919317,7.500545880836897,5.920805517274295,0.0,0.8751364702092245,0.12486352979077552,0.0,0.0,0.8751364702092245,559.0911531508958,107.18003925569298,330.6243176489539,20.032887083206557,4.7,30.24972705958155,1.3936476473430817,481.59001962784646,6.550741562710671,0.6675605092501448,0.0,0.0,58.45269331042424,3.2750272940418443,1.6080702664972348,0.6661156253169389,2
GlkvLWGvpu8_6YWIsmcASN335tsZaXXSYYQhn4cTO5e3ET9yp4-bAMdtWdiUcHszftR1tkBA-Pn3Ag,1.89711872155309,2.4290382033197524,8.285480898340124,5.34931986187345,0.0,1.0,0.0,0.0,0.0,1.0,600.2746084641328,99.36356552816731,335.554104837017,23.13561761602314,5.022958162376329,30.0,1.3,550.0,6.87678070828673,0.687678070828673,0.0,0.0,47.64274044917006,2.5182599619893216,3.184420509665121,0.6250000000000001,2
_Fe_QbjVBbbQEH5kB0zzK--jMuqIRFjN5kjxzK_P1ERauFnATbKNlGqAzlurmErHdXlmLpfcFtkLgw,4.26905079188557,5.6207103002646015,6.428689554013116,5.840361237872455,0.0,0.27755972696245734,0.0,0.0,0.7224402730375427,1.0,599.4766988150478,113.53616597001188,331.3877986348123,31.285241783947537,1.4130846147946468,30.0,1.4806100682593857,462.64298999117995,6.583660409556313,0.5273305259424014,0.0,0.0,55.7471402001764,2.510255685086475,3.0897516297887027,0.6274021680983242,3
