,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cluster
H5-T4yKgsjRf5U6vhOqIx5fO6ThTnE_PeNLlcQIbnEnXuRDVpzCJyn0u_HZOVR3-pY9bxy-63XrgLg,6.775366365363881,6.353204687766687,4.829006188219112,7.684546607618411,1.0,0.14445958060070146,0.0,0.0,0.8555404193992986,0.0,631.5550484133718,90.61279229219714,345.51018410975195,31.973465768819814,4.448832134183694,30.919825945964583,1.78939431033742,137.5583932908153,5.767707781876243,0.8539149958180479,0.0,0.0,61.78658342956879,3.6834980428663946,3.5873750797581114,0.6428540458709882,0
JbiFUHx1hueBopFbbKF97-Wd19PscZR1jy4XrSd1PUXlXEHulHpWxplrKHribCBqo3oXITKz7b6zsQ,8.0,5.0,3.0,4.666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,621.6666666666666,104.66666666666666,338.3333333333333,30.0,4.866666666666666,31.33333333333333,1.7999999999999998,224.99999999999997,7.499999999999999,0.7,0.0,0.0,65.0,4.016666666666667,2.833333333333333,0.5923333333333334,0
FSt4vhOcBvDnICWhDmgLg_-_E2f0PwTIFkvKerKUh4UoOpJwxU5E-T79En-aD95X-UKvGV1O5FXNDQ,3.6666666666666665,3.0,8.666666666666666,7.666666666666666,0.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,589.3333333333333,108.0,333.3333333333333,21.333333333333332,4.7,30.0,1.3,541.6666666666666,5.166666666666666,0.5666666666666667,0.0,0.0,54.0,2.833333333333333,2.35,0.6719999999999999,0
Vb8EPeLfWZdsrJf9-G6z3-pDiI5Gvr0PY-ll1B7Zh6grpdTgiMDwhRvM0_HdD2LG10BoZYoJ4v2xMw,6.737733177572066,4.368866588786033,2.368866588786033,5.368866588786033,1.0,0.0,1.0,0.0,0.0,0.0,635.5329988317905,108.63113341121397,345.0,34.73773317757206,4.71065997663581,32.0,2.05,172.3350058410475,7.184433294393016,0.7,0.0,0.0,63.3197992990743,3.5737733177572064,2.6844332943930165,0.6554179338784978,0
OJzVhG0F0NeBkC3HSnB39QyyeVcdLPGGqf_XvAKQEjq8U5SUsJGQNdvDje_uzLVClH9H1fJnrehgWg,8.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,625.0,106.0,340.0,33.0,4.6,32.0,2.05,425.0,8.0,0.7,0.0,0.0,68.0,4.0,3.0,0.475,0
HZLnTJT2C42A_IPDKHxLns_afBguizLaE1DaVJZMUlJQ3MvDQjDgzYZtjdiI7jP_rJB8zAAhqNuY9w,8.438337940934407,1.9999999999999998,5.315177571553437,6.634691091096291,0.0,0.6575887857767184,0.0,0.9999999999999999,0.0,0.0,620.091989989704,107.93547911519791,328.5386006156349,23.999999999999996,4.871205607111641,29.999999999999996,1.2999999999999998,541.4397196444179,3.908672772774073,0.6477102305319573,0.0,0.0,59.292279876873,3.523965306802759,2.2715501561872924,0.6486263737814064,0
yNnxq7XKNEltAgUAC91EddsJFaR6PAPWr69PY6Swv2HxgXTG8k559GotwrybNFqgi2G8YZdO_sTOoQ,6.166324272419004,4.388774757473001,5.4449009701079945,7.222450485053997,0.38877475747300144,0.6112252425269986,1.0,0.0,0.0,0.0,623.6071165115551,108.61122524252701,338.88774757473004,33.555099029892006,4.9611225242527,30.777549514946003,1.683264854483801,369.49009701079945,6.583162136209502,0.6388774757473001,0.0,0.0,62.276522332203015,3.5777549514946005,3.13446955335594,0.6430540718471491,0
pNHPxW2NG2bYSXxH2DEEbqX3nvg3jUwIjIR2uV_oJIF40DGOPEb0CDYXg3j0_0R8K6vzTyKmhrrG1A,1.0,7.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,550.0,104.0,330.0,18.0,4.7,30.0,1.3,525.0,6.5,0.65,0.0,0.0,58.0,3.3,1.36,0.658,0
GlkvLWGvpu8_6YWIsmcASN335tsZaXXSYYQhn4cTO5e3ET9yp4-bAMdtWdiUcHszftR1tkBA-Pn3Ag,1.85355999707471,2.3520055527940764,8.323997223602964,5.320888335041695,0.0,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,600.9188749890011,99.62309500657608,335.81776528041064,23.01089527603429,5.034421916532106,30.000000000000007,1.3000000000000003,550.0000000000001,6.912775833941799,0.69127758339418,0.0,0.0,47.661998611801494,2.5177557220677675,3.197831390392487,0.6250000000000001,0
_Fe_QbjVBbbQEH5kB0zzK--jMuqIRFjN5kjxzK_P1ERauFnATbKNlGqAzlurmErHdXlmLpfcFtkLgw,4.238785377363914,5.699102069202424,6.430756966450971,5.808028410912942,0.0,0.2655281383584154,0.0,0.0,0.7344718616415846,1.0,600.9448924321424,114.14676082201161,331.3276406917921,31.27697213419611,1.3477005538452485,30.0,1.483617965410396,460.02993102658587,6.601707792462377,0.5252156757861165,0.0,0.0,55.79940137946828,2.5050668557595968,3.0852328225210486,0.6269056868950513,0
