,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cluster
H5-T4yKgsjRf5U6vhOqIx5fO6ThTnE_PeNLlcQIbnEnXuRDVpzCJyn0u_HZOVR3-pY9bxy-63XrgLg,5.666666666666667,6.0,5.666666666666667,8.333333333333334,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,619.6666666666666,92.0,343.3333333333333,33.0,4.366666666666667,30.0,1.633333333333333,141.66666666666666,5.833333333333333,0.8666666666666667,0.0,0.0,62.0,3.466666666666667,3.6166666666666667,0.6396666666666667,1
JbiFUHx1hueBopFbbKF97-Wd19PscZR1jy4XrSd1PUXlXEHulHpWxplrKHribCBqo3oXITKz7b6zsQ,8.0,5.0,3.0,4.666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,621.6666666666666,104.66666666666667,338.3333333333333,30.0,4.866666666666666,31.333333333333332,1.7999999999999998,225.0,7.5,0.6999999999999998,0.0,0.0,65.0,4.016666666666667,2.8333333333333335,0.5923333333333334,1
FSt4vhOcBvDnICWhDmgLg_-_E2f0PwTIFkvKerKUh4UoOpJwxU5E-T79En-aD95X-UKvGV1O5FXNDQ,3.6666666666666665,3.0,8.666666666666666,7.666666666666667,0.0,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,589.3333333333334,108.0,333.3333333333333,21.333333333333332,4.7,30.0,1.3,541.6666666666666,5.166666666666667,0.5666666666666667,0.0,0.0,54.0,2.8333333333333335,2.35,0.672,0
Vb8EPeLfWZdsrJf9-G6z3-pDiI5Gvr0PY-ll1B7Zh6grpdTgiMDwhRvM0_HdD2LG10BoZYoJ4v2xMw,6.0,3.6666666666666665,4.0,7.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,628.3333333333334,105.33333333333333,343.3333333333333,34.0,4.733333333333333,32.0,2.05,158.33333333333334,6.833333333333333,0.6666666666666666,0.0,0.0,63.0,2.9,1.8333333333333333,0.7196666666666668,1
OJzVhG0F0NeBkC3HSnB39QyyeVcdLPGGqf_XvAKQEjq8U5SUsJGQNdvDje_uzLVClH9H1fJnrehgWg,7.0,4.666666666666667,4.333333333333333,5.666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,626.6666666666666,107.66666666666667,340.0,33.666666666666664,4.833333333333333,31.333333333333332,1.8499999999999999,358.3333333333333,7.166666666666667,0.6666666666666666,0.0,0.0,65.0,3.733333333333333,3.0733333333333337,0.588,1
HZLnTJT2C42A_IPDKHxLns_afBguizLaE1DaVJZMUlJQ3MvDQjDgzYZtjdiI7jP_rJB8zAAhqNuY9w,8.333333333333334,2.0,5.333333333333333,6.666666666666667,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,618.3333333333334,107.66666666666667,328.3333333333333,24.0,4.866666666666667,30.0,1.3,541.6666666666666,3.9166666666666665,0.65,0.0,0.0,59.333333333333336,3.466666666666667,2.3333333333333335,0.648,3
yNnxq7XKNEltAgUAC91EddsJFaR6PAPWr69PY6Swv2HxgXTG8k559GotwrybNFqgi2G8YZdO_sTOoQ,7.0,4.666666666666667,4.333333333333333,5.666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,626.6666666666666,107.66666666666667,340.0,33.666666666666664,4.833333333333333,31.333333333333332,1.8499999999999999,358.3333333333333,7.166666666666667,0.6666666666666666,0.0,0.0,65.0,3.733333333333333,3.0733333333333337,0.5880000000000001,1
pNHPxW2NG2bYSXxH2DEEbqX3nvg3jUwIjIR2uV_oJIF40DGOPEb0CDYXg3j0_0R8K6vzTyKmhrrG1A,2.6666666666666665,3.3333333333333335,6.666666666666667,7.333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,573.3333333333334,112.33333333333333,331.6666666666667,23.333333333333332,4.7,30.666666666666668,1.55,408.3333333333333,6.666666666666667,0.7000000000000001,0.0,0.0,59.333333333333336,3.233333333333333,1.986666666666667,0.6786666666666665,0
GlkvLWGvpu8_6YWIsmcASN335tsZaXXSYYQhn4cTO5e3ET9yp4-bAMdtWdiUcHszftR1tkBA-Pn3Ag,2.6666666666666665,3.6666666666666665,7.666666666666667,5.666666666666667,0.0,1.0,0.0,0.0,0.0,1.0,591.6666666666666,95.33333333333333,331.6666666666667,25.0,4.866666666666667,30.0,1.3,550.0,6.333333333333333,0.6333333333333334,0.0,0.0,47.333333333333336,2.533333333333333,2.9166666666666665,0.625,0
_Fe_QbjVBbbQEH5kB0zzK--jMuqIRFjN5kjxzK_P1ERauFnATbKNlGqAzlurmErHdXlmLpfcFtkLgw,3.3333333333333335,5.0,7.0,4.333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,596.6666666666666,104.0,333.3333333333333,29.0,3.4,30.0,1.3833333333333335,483.3333333333333,6.0,0.5,0.0,0.0,55.333333333333336,2.9333333333333336,2.546666666666667,0.6313333333333334,2
yAYQdDNg84zFyEUmmdbhIgpZRjiEbr82sPmWgF1GxL-CBArFgUONYYzNn-JSo1Rox1QNXys6vugtxw,2.3333333333333335,5.666666666666667,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,1.0,622.0,105.66666666666667,328.3333333333333,40.0,4.766666666666667,30.666666666666668,1.9666666666666666,141.66666666666666,8.166666666666666,0.9,0.0,0.0,56.666666666666664,3.0666666666666664,2.8000000000000003,0.6313333333333334,2
