,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
H5-T4yKgsjRf5U6vhOqIx5fO6ThTnE_PeNLlcQIbnEnXuRDVpzCJyn0u_HZOVR3-pY9bxy-63XrgLg,7.623352341015289,6.623352341015289,4.188323829492355,7.188323829492356,1.0,0.0,0.0,0.0,1.0,0.0,640.647845142948,89.55179021659937,347.17514255761466,31.188323829492354,4.511676170507645,31.623352341015288,1.908757127880733,134.4161914746178,5.717514255761467,0.8441619147461779,0.0,0.0,61.623352341015284,3.8493409364061155,3.5649714884770667,0.6452919042626911
JbiFUHx1hueBopFbbKF97-Wd19PscZR1jy4XrSd1PUXlXEHulHpWxplrKHribCBqo3oXITKz7b6zsQ,8.0,4.851871160974418,3.0,3.5925153561023286,0.14812883902558216,0.0,0.0,1.0,0.0,0.0,619.8154906341045,106.44438651707674,339.2593558048721,31.3705827707186,4.659251535610233,31.703742321948837,1.9389033707308132,380.56134829232536,7.703742321948836,0.6851871160974418,0.0,0.0,66.66684044876976,4.037032209756395,3.0,0.5021075775416816
FSt4vhOcBvDnICWhDmgLg_-_E2f0PwTIFkvKerKUh4UoOpJwxU5E-T79En-aD95X-UKvGV1O5FXNDQ,6.558053286457655,1.3314600351567587,8.0,8.558053286457655,0.0,1.0,0.11048667838558619,0.0,0.0,0.8895133216144139,581.1048667838559,108.44756660807208,330.0,21.000000000000004,4.700000000000001,30.0,1.3000000000000003,550.0,5.168539964843242,0.5555243339192794,0.0,0.0,53.889513321614416,3.266853996484324,2.4668539964843244,0.6875692930755171
Vb8EPeLfWZdsrJf9-G6z3-pDiI5Gvr0PY-ll1B7Zh6grpdTgiMDwhRvM0_HdD2LG10BoZYoJ4v2xMw,6.823472590635264,4.411736295317633,2.411736295317632,5.411736295317633,1.0,0.0,1.0,0.0,0.0,0.0,636.1760444297645,108.58826370468238,345.00000000000006,34.82347259063527,4.72352088859529,32.0,2.0500000000000003,169.11977785117764,7.205868147658817,0.7000000000000001,0.0,0.0,63.70562665785869,3.582347259063527,2.7058681476588164,0.6551178459327767
OJzVhG0F0NeBkC3HSnB39QyyeVcdLPGGqf_XvAKQEjq8U5SUsJGQNdvDje_uzLVClH9H1fJnrehgWg,7.147834706377688,4.715944902125896,4.1362203914964155,4.420275489370519,0.0,0.2840550978741039,0.2840550978741039,0.7159449021258961,0.0,0.0,620.7391735318884,106.8521652936223,338.5797245106295,32.7159449021259,4.713622039149641,31.431889804251792,1.8795669412755376,453.40550978741044,7.431889804251792,0.6715944902125897,0.0,0.0,65.15944902125896,3.857972451062948,3.062492121532303,0.521300980953479
HZLnTJT2C42A_IPDKHxLns_afBguizLaE1DaVJZMUlJQ3MvDQjDgzYZtjdiI7jP_rJB8zAAhqNuY9w,9.18591771683956,2.0,5.18591771683956,6.407041141580219,0.0,0.5929588584197802,0.0,1.0,0.0,0.0,632.6127372130879,109.84928799106154,330.0,24.0,4.903520570790111,30.0,1.3,539.8239714604945,3.8517602853950548,0.631408228316044,0.0,0.0,59.0,3.9319026871827476,1.831685137110989,0.653085838769035
yNnxq7XKNEltAgUAC91EddsJFaR6PAPWr69PY6Swv2HxgXTG8k559GotwrybNFqgi2G8YZdO_sTOoQ,6.17912862063829,4.393042873546096,5.427828505815614,7.2139142529078075,0.39304287354609646,0.6069571264539035,1.0,0.0,0.0,0.0,623.7565005741134,108.6069571264539,338.93042873546096,33.57217149418439,4.960695712645391,30.786085747092194,1.6858257241276577,367.78285058156143,6.589564310319145,0.6393042873546096,0.0,0.0,62.32347160900706,3.5786085747092193,3.133530567819859,0.6431095573560992
pNHPxW2NG2bYSXxH2DEEbqX3nvg3jUwIjIR2uV_oJIF40DGOPEb0CDYXg3j0_0R8K6vzTyKmhrrG1A,1.2876124050371913,6.712387594962809,8.0,5.191741603358127,0.0,1.0,0.0,0.0,0.0,1.0,551.438062025186,104.23967700419766,330.0,18.143806202518597,4.7,30.0,1.3,526.1983850209883,6.452064599160468,0.6452064599160469,0.0,0.0,57.808258396641875,3.3,1.4146463569570664,0.659533932826865
GlkvLWGvpu8_6YWIsmcASN335tsZaXXSYYQhn4cTO5e3ET9yp4-bAMdtWdiUcHszftR1tkBA-Pn3Ag,1.098982796732245,1.1319770623096599,8.93401146884517,5.000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,609.5050860163389,103.60406881307102,339.6700573442259,21.164971327887077,5.190101720326775,30.0,1.3,550.0000000000001,7.450508601633878,0.7450508601633877,0.0,0.0,47.967005734422585,2.5032994265577417,3.458757168028231,0.6250000000000001
_Fe_QbjVBbbQEH5kB0zzK--jMuqIRFjN5kjxzK_P1ERauFnATbKNlGqAzlurmErHdXlmLpfcFtkLgw,4.628497636113287,6.0,6.185751181943356,6.442746454169931,0.0,0.09287559097167822,0.0,0.0,0.9071244090283218,1.0,602.7862677291504,118.51399054445315,330.4643779548584,32.256995272226575,0.46437795485839106,30.0,1.5267811022570805,450.0,6.860686613542483,0.5360686613542484,0.0,0.0,56.0,2.320738268263182,3.3170350857857938,0.625
yAYQdDNg84zFyEUmmdbhIgpZRjiEbr82sPmWgF1GxL-CBArFgUONYYzNn-JSo1Rox1QNXys6vugtxw,0.3704941878643856,0.7409883757287712,0.27787064089828917,0.3704941878643856,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,613.3344476907795,103.7221293591017,316.8524709393219,31.204106110559252,4.346311773483047,28.370494187864384,1.8231558867415238,170.36882265169515,7.592623546966095,0.8499999999999999,0.0,0.0,55.463117734830476,2.9999999999999996,2.0833611922694866,0.6249999999999999
kBYQhV8vFQLI_bjiiQ4fe7IULAnp9Q2NxEb1gCvzgI_x_3qZf8-eJZy_16TyTEB_dm6dyYfkETLw7Q,4.209395728989887,6.790604271010113,6.0,5.418791457979774,0.0,0.0,0.0,0.0,1.0,1.0,625.6946388078287,115.65167650944437,331.9765106775253,33.79060427101011,2.0555711046262948,30.790604271010114,1.7476510677525283,321.52680596085656,6.209395728989887,0.6290604271010114,0.0,0.0,59.162417084040456,2.6348323490555625,2.9564595636805473,0.694177873713385
op-f0sXILD5TyviT0mXmxtyqnt673pdFVI390npPgDnwxk_O6FRnBemPeDQy4zxvzcnkdGQ22plWfw,4.189317690112514,2.405341154943743,8.936894103295828,9.0,0.0,0.9999999999999999,0.46844705164791434,0.0,0.0,0.5315529483520856,588.4320469296624,109.93689410329583,334.6844705164791,21.468447051647914,4.699999999999999,29.999999999999996,1.2999999999999998,538.288823708802,6.436894103295828,0.55,0.0,0.0,54.468447051647914,2.7847082431872936,2.4297329422528122,0.6750096943472667
yhoXMJ3C-SKIJl3hdaAhrx_RWR7kGPHFXEFxp22RvqfQE8Z5GuXIAWsNesbbdr9tszdePEFrLTAdfQ,8.0,5.825067654796656,3.825067654796655,5.475202964389966,0.8250676547966551,0.0,0.0,0.17493234520334489,0.8250676547966551,0.0,625.0,106.0,344.1253382739833,32.174932345203345,5.3013075065771575,32.0,2.05,218.73308630083622,7.174932345203345,0.7412533827398328,0.0,0.0,66.34986469040669,3.752479703561004,2.5874661726016726,0.6358881926853477
AQy50tBfR4c4MWd_fZ8lclmJaarZ6xeLTLAUuQf4OSZ4bPj2d4nqfpPYyzztcFMUQKmkxo0mmR2g1A,3.0,4.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,593.6072527437125,110.49305493868238,333.6072527437124,23.885802194969948,4.8803626371856215,30.72145054874249,1.7509065929640546,414.72802211078357,4.844714283413085,0.7082175823113731,0.0,0.0,55.885802194969955,3.0,2.6689428566826168,0.6597033186894614
x1P3cAGGzEPZ89fgRoetYB8SFzNsqah6Tq2drA4NXabnFzOJKkyBUFUHdHN_n727MfryRkVXzcAQ3g,8.736350476999595,2.4394158716673386,1.0878831743334676,6.912116825666532,0.0878831743334678,0.0,0.9121168256665321,0.0,0.0878831743334678,0.0,650.1331403293273,99.43941587166734,345.0,32.527299046000806,4.7,29.2636495230004,2.0499999999999994,124.99999999999999,7.087883174333467,0.6631824761500201,0.0,0.0,62.73635047699959,3.4527299046000803,3.229693460533225,0.6516151822203342
g00m9M_Ak4ElCaxAC2IN1OTlmkuY3YTvHRAeTh2Gl3vzrFcVyFjRK3GYcUvRVXBsXJFwTQxM5YDBQg,7.511467837891775,3.5344035136753242,4.465596486324676,6.488532162108225,0.0,1.0,0.0,1.0,0.0,0.0,620.458713515671,102.0,330.11467837891774,24.511467837891775,4.444266081054113,30.0,1.3,537.2133040527056,3.7442660810541124,0.5988532162108225,0.0,0.0,59.48853216210823,2.673279824316234,2.141972513475758,0.6347178889199437
qAfL7wuHJaByo2WXW5S5c1MZW_IDGS1IoVK4UUjEziSamdS9RtB6WZ4iXy8xtJUy_Vn2sg7VJjR0sQ,4.605824768055889,3.1009707946759812,8.293204437268127,7.495146026620091,0.10097079467598162,0.8990292053240183,0.9999999999999999,0.0,0.0,0.0,666.7495186768489,107.09126284791616,336.0097079467598,28.50485397337991,4.7,31.999999999999996,2.05,127.52426986689953,7.600970794675981,0.6848543807986026,0.0,0.0,58.80776635740785,3.210097079467598,2.7864465655509516,0.6612310654296314
qcjvZNHlFXdxXmIahHYsEeWjLLhhAnVhYxiXetcRhn7XUocwIP8LvU1RtHAc_i0K5Z8B5pzIG0Xg_A,7.999999999999999,4.999999999999999,3.0,6.0,0.0,0.3057653435222246,0.6942346564777753,0.9999999999999999,0.0,0.0,633.0576534352222,106.16540793886665,334.99999999999994,25.694234656477775,4.547117328238888,29.999999999999996,1.2999999999999998,507.6441335880555,3.3264413358805562,0.5499999999999999,0.0,0.0,57.61153068704444,2.87769386259111,2.8413519847166624,0.6537192851906888
Yiy4lRf0zF-cQPTt9O9LygHyERsazOCXDCx_8T8Tzg2VPt8BqdPTbdc2C4YCEiki2cMfwcN4ZVYbqQ,7.999999999999999,4.355022329205495,3.6449776707945047,8.57991068317802,0.644977670794505,0.3550223292054949,0.644977670794505,0.3550223292054949,0.0,0.0,607.7511164602747,107.15982136635603,341.44977670794503,29.51484369556153,4.457991068317801,31.289955341589007,1.7837332530958785,299.2578152219232,5.434933012383514,0.7757421847780768,0.0,0.0,59.644977670794496,2.857991068317802,2.896462040350658,0.6781838165521087
Cuc9c95Zc1SicAAzFmpd-iLWfVFU4cgenWp7n6R_K31FXp804VfMPRIqeEnBfpU81dzmc-Pi2QkwUg,8.865868881966996,3.2682622360660076,1.2682622360660079,6.865868881966995,0.13413111803300398,0.0,1.0,0.0,0.0,0.0,656.2562954655709,108.86586888196699,336.34131118033,30.804786708198023,4.726826223606601,38.06108217376897,2.05,125.0,8.365868881966996,0.7432934440983497,0.0,0.0,68.134131118033,3.1804786708198023,2.9134131118033,0.6284874090688581
cT9xTfL5zWqg-bclQLzWFZ9AuiRaKTKqjJ1GRedBmZoOwuNoVCfp4j9Sr6z-BlpZfCpmTPEgkLz2rg,8.0,5.0,3.0,5.308725788961995,0.7695752629873316,0.0,0.7695752629873316,0.23042473701266844,0.0,0.0,640.3915052597467,107.53915052597466,343.8478763149367,35.30872578896199,4.8308725788962,32.0,2.05,194.12742110380054,7.615212368506334,0.7,0.0,0.0,68.76957526298733,3.769127421103801,3.0,0.6104452462857703
WEgNIwaeStPrac_xy207NiKmqi487OIzw0rFglPWdBwSyjkZm0VBVHPWBtbGxOXENJnEgK02Wk5zfw,8.0,7.768309173035306,6.768309173035306,8.884154586517655,1.0,0.0,0.0,0.05792270674117356,0.9420772932588265,0.0,622.972705264059,119.3628502258471,330.2896135337059,35.18908210562358,5.188415458651766,30.0,2.053661834607061,148.55193233147065,9.297270526405894,0.9768309173035307,0.0,0.0,63.71038646629414,3.54344203005588,2.5289613533705873,0.6862623187977648
MwQIa7J2CBkmhPiFsja7hsYvCXjDNzfNek5Y10owHpRH17-j3Dcp3tVIOE6Fxb_ndr177s6RFnx-cQ,3.1346281094452504,5.221143242128958,7.288457296851583,5.7115427031484165,0.0,1.0,0.0,0.35577135157420847,0.0,0.0,619.3268594527738,104.57691459370317,334.6634297263869,22.067314054722626,4.7,30.0,1.3,550.0,6.2548002694902705,0.6177885675787105,0.0,0.0,58.71154270314842,3.104325756634185,2.5,0.6462595453980512
tEdgHFqrsTI4rIohBbdnnyhdVKHuL9xO24Fa-EDwprsYrdhjy0SatbzIpAUZPEfAaKn7SniCDeZYUw,8.158936591419597,3.1401772347634,1.9812406433438028,6.719645530473199,0.0,0.1401772347634004,0.9999999999999999,0.0,0.0,0.0,649.8697203837227,110.82230405192419,335.70088617381697,29.8598227652366,4.7700886173817,38.0187593566562,2.1200886173817,132.00886173817,8.5700886173817,0.77102658521451,0.0,0.0,67.01875935665619,3.08598227652366,2.9841063408580397,0.627803544695268
Jsa9kyYXHx5xfh17ZoWYfI2EBeCv2Uqz73kVkFE5_9k28WzQjrgqi1MiYwX7pgRuT8OO7n0j8cFpoA,8.0,4.380623946667619,3.6193760533323815,7.238752106664763,0.6193760533323812,0.0,0.6193760533323812,0.3806239466676189,0.0,0.0,612.3875210666477,106.9031197333381,339.29064079998574,29.574384479991433,4.4477504213329535,31.238752106664766,1.764532039999286,298.7027826669762,5.882348226662621,0.7309688026666191,0.0,0.0,58.47750421332953,2.0,2.929064079998572,0.6375605902400314
xnehKORupDLroCQNu8bZOYydsBdlEY5ZxbbNkHEUZBahCDUAwXy6HvtD2Bi-wlv7xNwoaPqbbDpJKQ,2.897686171792901,4.897686171792901,7.102313828207099,5.448843085896451,0.0,0.0,0.0,0.0,0.4488430858964505,1.0,626.1583510922721,99.44884308589644,330.51156914103547,34.03958777306806,4.9224421542948225,32.0,2.05,243.8946142629437,6.570950800637577,0.5224421542948225,0.0,0.0,61.551156914103544,3.41023138282071,2.102313828207099,0.666867859098648
0fERjuJ7XHppgWyOVlC0_3Avz62kQ816Zucij70mpQVkE_nVPHjYYjA6C624TbirgbTW4jvZMPk-pw,6.84075032276556,6.261125484148339,5.84075032276556,8.420375161382779,1.0,0.0,0.0,0.0,1.0,0.0,575.7318887175363,96.23538161669396,332.8981241930861,33.681500645531116,4.33056274207417,30.0,1.6363001291062238,164.49062096543054,6.601875806913899,1.1449062096543052,0.0,0.0,61.681500645531116,3.326112548414834,4.528686935160271,0.6514836351671152
GoeQ3-3FVTznbxHgUOf1t_CK__I6XCiFNL2DhsMm8DFrldK4XZYXDMzKmNRm6Kj2_XqGX6WbrGzWTA,7.671467869684479,4.8357339348422395,2.83573393484224,5.8357339348422395,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,0.0,642.5360090226336,108.16426606515775,344.99999999999994,35.67146786968448,4.850720180452672,31.999999999999996,2.05,137.31995488683202,7.417866967421119,0.6999999999999998,0.0,0.0,67.52160541358015,3.6671467869684475,2.9178669674211197,0.6521498624561043
rNi4Kx-JXwVAZjQQia6rIAtkjKGH4VUA0CbzzzkT52T0kS0-4hAkP6Nef1UraBW4EZf5n7gp2gVCiw,7.755085997300964,4.2652579919028915,3.7347420080971085,6.244914002699036,0.0,1.0,0.0,1.0,0.0,0.0,630.2034398920385,102.0,332.5508599730096,24.75508599730096,4.322457001349518,30.0,1.3,531.1228500674758,3.622457001349518,0.5744914002699036,0.0,0.0,59.24491400269903,2.636737100404855,1.9714398018893253,0.6393466339487184
