,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
H5-T4yKgsjRf5U6vhOqIx5fO6ThTnE_PeNLlcQIbnEnXuRDVpzCJyn0u_HZOVR3-pY9bxy-63XrgLg,7.6233523410152895,6.6233523410152895,4.188323829492355,7.188323829492355,1.0,0.0,0.0,0.0,1.0,0.0,640.647845142948,89.55179021659939,347.17514255761466,31.188323829492354,4.511676170507645,31.62335234101529,1.9087571278807334,134.41619147461776,5.7175142557614675,0.8441619147461776,0.0,0.0,61.62335234101529,3.849340936406116,3.564971488477066,0.6452919042626911
JbiFUHx1hueBopFbbKF97-Wd19PscZR1jy4XrSd1PUXlXEHulHpWxplrKHribCBqo3oXITKz7b6zsQ,8.0,4.851871160974417,3.0,3.59251535610233,0.14812883902558246,0.0,0.0,1.0,0.0,0.0,619.8154906341047,106.44438651707675,339.2593558048721,31.370582770718592,4.659251535610233,31.703742321948834,1.938903370730813,380.5613482923252,7.703742321948835,0.6851871160974418,0.0,0.0,66.66684044876976,4.037032209756395,3.0,0.5021075775416816
FSt4vhOcBvDnICWhDmgLg_-_E2f0PwTIFkvKerKUh4UoOpJwxU5E-T79En-aD95X-UKvGV1O5FXNDQ,6.5580532864576595,1.331460035156755,8.0,8.55805328645766,0.0,1.0,0.110486678385585,0.0,0.0,0.889513321614415,581.1048667838558,108.44756660807207,330.0,21.0,4.7,30.0,1.3,550.0,5.168539964843245,0.5555243339192792,0.0,0.0,53.88951332161441,3.2668539964843246,2.4668539964843244,0.6875692930755171
Vb8EPeLfWZdsrJf9-G6z3-pDiI5Gvr0PY-ll1B7Zh6grpdTgiMDwhRvM0_HdD2LG10BoZYoJ4v2xMw,6.823472590635262,4.411736295317631,2.411736295317631,5.411736295317631,1.0,0.0,1.0,0.0,0.0,0.0,636.1760444297645,108.58826370468236,345.0,34.82347259063526,4.723520888595289,32.0,2.05,169.11977785117764,7.205868147658816,0.7,0.0,0.0,63.70562665785868,3.582347259063526,2.7058681476588156,0.6551178459327767
OJzVhG0F0NeBkC3HSnB39QyyeVcdLPGGqf_XvAKQEjq8U5SUsJGQNdvDje_uzLVClH9H1fJnrehgWg,7.147834706377687,4.715944902125895,4.136220391496416,4.420275489370521,0.0,0.28405509787410416,0.28405509787410416,0.7159449021258958,0.0,0.0,620.7391735318884,106.8521652936223,338.5797245106295,32.71594490212589,4.713622039149641,31.43188980425179,1.8795669412755371,453.4055097874104,7.431889804251791,0.6715944902125894,0.0,0.0,65.15944902125895,3.8579724510629476,3.062492121532303,0.521300980953479
HZLnTJT2C42A_IPDKHxLns_afBguizLaE1DaVJZMUlJQ3MvDQjDgzYZtjdiI7jP_rJB8zAAhqNuY9w,9.185917716839558,2.0,5.185917716839559,6.40704114158022,0.0,0.5929588584197797,0.0,1.0,0.0,0.0,632.6127372130879,109.84928799106154,330.0,24.0,4.90352057079011,30.0,1.2999999999999998,539.8239714604945,3.8517602853950548,0.631408228316044,0.0,0.0,58.99999999999999,3.9319026871827463,1.8316851371109912,0.6530858387690351
yNnxq7XKNEltAgUAC91EddsJFaR6PAPWr69PY6Swv2HxgXTG8k559GotwrybNFqgi2G8YZdO_sTOoQ,6.179128620638291,4.393042873546097,5.427828505815612,7.213914252907806,0.39304287354609707,0.606957126453903,1.0,0.0,0.0,0.0,623.7565005741135,108.60695712645392,338.93042873546096,33.57217149418439,4.960695712645391,30.786085747092194,1.6858257241276582,367.7828505815612,6.589564310319146,0.6393042873546098,0.0,0.0,62.32347160900707,3.57860857470922,3.133530567819859,0.6431095573560993
pNHPxW2NG2bYSXxH2DEEbqX3nvg3jUwIjIR2uV_oJIF40DGOPEb0CDYXg3j0_0R8K6vzTyKmhrrG1A,1.2876124050371904,6.71238759496281,8.0,5.191741603358127,0.0,1.0,0.0,0.0,0.0,1.0,551.4380620251859,104.23967700419766,330.0,18.143806202518594,4.7,30.0,1.3,526.1983850209883,6.452064599160468,0.6452064599160469,0.0,0.0,57.80825839664187,3.3,1.4146463569570662,0.659533932826865
GlkvLWGvpu8_6YWIsmcASN335tsZaXXSYYQhn4cTO5e3ET9yp4-bAMdtWdiUcHszftR1tkBA-Pn3Ag,1.098982796732243,1.1319770623096572,8.934011468845172,5.0,0.0,1.0,0.0,0.0,0.0,1.0,609.5050860163387,103.60406881307102,339.6700573442258,21.16497132788707,5.190101720326776,30.0,1.3,549.9999999999999,7.450508601633878,0.7450508601633878,0.0,0.0,47.967005734422585,2.5032994265577413,3.458757168028232,0.625
_Fe_QbjVBbbQEH5kB0zzK--jMuqIRFjN5kjxzK_P1ERauFnATbKNlGqAzlurmErHdXlmLpfcFtkLgw,4.628497636113287,6.0,6.185751181943356,6.442746454169931,0.0,0.09287559097167819,0.0,0.0,0.9071244090283218,1.0,602.7862677291503,118.51399054445315,330.4643779548584,32.256995272226575,0.46437795485839095,30.0,1.5267811022570805,450.0,6.860686613542483,0.5360686613542484,0.0,0.0,56.0,2.320738268263182,3.3170350857857938,0.625
yAYQdDNg84zFyEUmmdbhIgpZRjiEbr82sPmWgF1GxL-CBArFgUONYYzNn-JSo1Rox1QNXys6vugtxw,0.37049418786438376,0.7409883757287675,0.27787064089828784,0.37049418786438376,0.0,0.0,0.0,0.0,1.0,1.0,613.3344476907795,103.7221293591017,316.8524709393219,31.204106110559245,4.346311773483047,28.370494187864384,1.823155886741524,170.3688226516952,7.592623546966095,0.85,0.0,0.0,55.463117734830476,3.0,2.083361192269486,0.625
kBYQhV8vFQLI_bjiiQ4fe7IULAnp9Q2NxEb1gCvzgI_x_3qZf8-eJZy_16TyTEB_dm6dyYfkETLw7Q,4.209395728989887,6.790604271010113,6.0,5.418791457979774,0.0,0.0,0.0,0.0,1.0,1.0,625.6946388078286,115.65167650944437,331.9765106775253,33.79060427101011,2.0555711046262943,30.790604271010114,1.7476510677525283,321.5268059608566,6.209395728989888,0.6290604271010114,0.0,0.0,59.162417084040456,2.6348323490555625,2.9564595636805473,0.6941778737133849
op-f0sXILD5TyviT0mXmxtyqnt673pdFVI390npPgDnwxk_O6FRnBemPeDQy4zxvzcnkdGQ22plWfw,4.189317690112513,2.4053411549437436,8.93689410329583,9.0,0.0,1.0,0.46844705164791456,0.0,0.0,0.5315529483520854,588.4320469296624,109.93689410329583,334.6844705164791,21.468447051647914,4.7,30.0,1.3,538.2888237088022,6.436894103295829,0.55,0.0,0.0,54.468447051647914,2.7847082431872936,2.429732942252813,0.6750096943472668
yhoXMJ3C-SKIJl3hdaAhrx_RWR7kGPHFXEFxp22RvqfQE8Z5GuXIAWsNesbbdr9tszdePEFrLTAdfQ,8.0,5.825067654796653,3.8250676547966536,5.47520296438996,0.8250676547966536,0.0,0.0,0.1749323452033464,0.8250676547966536,0.0,625.0,106.0,344.1253382739833,32.174932345203345,5.301307506577155,32.0,2.05,218.7330863008366,7.174932345203347,0.7412533827398327,0.0,0.0,66.34986469040669,3.7524797035610042,2.587466172601673,0.6358881926853475
